Márka,Típus,Évjárat,Napi ár (HUF)
Hyundai,Santa Fe,2017,23269
Nissan,Altima,2003,19693
Mercedes,GLC,2003,5513
Nissan,Qashqai,2019,11598
Honda,Accord,2013,19502
Volkswagen,Golf,2022,11187
Honda,CR-V,2015,13441
Volkswagen,Tiguan,2009,5469
BMW,M3,2007,10429
Audi,A4,2005,23778
Volkswagen,Polo,2009,17739
Toyota,RAV4,2011,24499
Volkswagen,Passat,2010,6521
BMW,X3,2023,24047
BMW,X3,2020,6552
Audi,Q7,2020,11963
Toyota,Corolla,2001,5733
Hyundai,i30,2013,14437
Peugeot,2008,2021,9006
Honda,CR-V,2003,21632
Toyota,RAV4,2005,11585
Honda,Civic,2000,14018
Peugeot,508,2001,24369
Honda,CR-V,2014,14592
Peugeot,2008,2009,9275
Hyundai,Santa Fe,2019,20517
Hyundai,Tucson,2016,24563
Audi,A3,2003,7777
Audi,Q7,2016,14179
Honda,Accord,2011,16448
Audi,Q7,2023,16200
Hyundai,i20,2016,22993
Nissan,Micra,2001,8343
Volkswagen,Polo,2017,9832
Hyundai,Tucson,2005,8821
Toyota,RAV4,2017,16799
Ford,Fiesta,2015,10181
Toyota,Corolla,2005,8768
Toyota,RAV4,2017,16732
Volkswagen,Golf,2010,18737
BMW,X5,2005,21310
BMW,M3,2022,21735
Honda,Fit,2005,6841
Peugeot,508,2011,9280
Ford,Explorer,2017,23406
Toyota,Camry,2013,20533
Hyundai,Santa Fe,2022,13690
BMW,M3,2023,24879
Ford,Focus,2010,24320
Peugeot,308,2021,18267
Peugeot,2008,2015,11402
Hyundai,Tucson,2014,10821
Toyota,RAV4,2012,14617
Ford,Mustang,2004,7631
Peugeot,508,2003,24042
Hyundai,i20,2020,20377
Peugeot,208,2020,23386
Volkswagen,Tiguan,2004,9780
Honda,CR-V,2009,22414
Hyundai,Santa Fe,2002,21888
Volkswagen,Golf,2023,24307
Honda,Fit,2022,5027
BMW,X3,2001,9459
Nissan,Micra,2009,7670
Honda,Civic,2011,23975
Toyota,Corolla,2001,15975
Mercedes,E-Class,2003,13291
BMW,X5,2000,14314
Honda,Fit,2009,6937
Audi,Q7,2002,6478
Toyota,Camry,2000,21704
Toyota,Yaris,2009,18967
Ford,Fiesta,2004,8077
BMW,X5,2007,5387
Ford,Focus,2008,18071
Volkswagen,Polo,2021,16793
Audi,A4,2006,14471
Audi,Q7,2009,22992
Volkswagen,Polo,2007,20381
BMW,X3,2004,10725
Peugeot,2008,2010,21377
Peugeot,508,2006,9666
BMW,X5,2002,24543
Volkswagen,Polo,2012,18087
Toyota,Camry,2023,11487
Volkswagen,Polo,2018,6632
Volkswagen,Polo,2005,16989
Honda,Fit,2019,18512
Nissan,X-Trail,2010,14337
Volkswagen,Polo,2017,6406
Toyota,Corolla,2003,21988
Ford,Focus,2020,17989
Mercedes,A-Class,2022,9973
BMW,X5,2007,18581
Volkswagen,Tiguan,2011,20834
BMW,M3,2008,24318
Peugeot,2008,2019,6091
BMW,X5,2021,22046
Volkswagen,Polo,2019,16241
Hyundai,i20,2013,22858
Nissan,X-Trail,2017,9072
Nissan,Altima,2011,21563
Volkswagen,Polo,2018,15990
Volkswagen,Golf,2013,14359
Ford,Mustang,2012,22717
Hyundai,Santa Fe,2002,22294
Ford,Explorer,2008,5526
Hyundai,i20,2018,12707
Toyota,Yaris,2012,12030
Audi,Q7,2019,18173
Honda,CR-V,2003,16380
Nissan,Micra,2004,18916
BMW,X5,2023,10180
Mercedes,C-Class,2018,13120
Audi,Q5,2021,12538
Mercedes,A-Class,2014,20604
BMW,X3,2010,15127
Mercedes,E-Class,2005,12671
Honda,Civic,2008,10980
Ford,Focus,2021,5526
Honda,Accord,2010,7953
Volkswagen,Polo,2021,5573
Peugeot,2008,2020,20162
Volkswagen,Tiguan,2015,10875
Ford,Focus,2011,13769
Nissan,Altima,2002,13488
Toyota,Yaris,2009,16674
Hyundai,i20,2009,8862
Mercedes,GLC,2017,18323
Audi,Q7,2007,6189
Toyota,Yaris,2015,24099
Honda,Accord,2008,5656
Ford,Focus,2013,13514
Toyota,Yaris,2003,6538
Nissan,Qashqai,2003,15540
Peugeot,508,2000,10001
Nissan,Micra,2008,15521
Honda,CR-V,2004,18023
Hyundai,Santa Fe,2000,21704
Toyota,Corolla,2007,8745
Hyundai,Santa Fe,2022,13458
BMW,X5,2011,15218
Volkswagen,Tiguan,2004,17173
Volkswagen,Golf,2001,11057
Toyota,Camry,2015,11938
Nissan,Altima,2002,22473
Toyota,Camry,2018,11632
Honda,Civic,2010,5841
Peugeot,208,2012,24893
Ford,Focus,2016,11005
Nissan,X-Trail,2007,24891
Mercedes,GLC,2014,21480
Hyundai,i20,2010,15947
Mercedes,E-Class,2009,18996
Volkswagen,Tiguan,2021,16879
Volkswagen,Tiguan,2008,14020
Volkswagen,Passat,2010,13678
Volkswagen,Tiguan,2008,15137
Toyota,Yaris,2006,12898
Mercedes,GLC,2022,24364
Toyota,Corolla,2019,15487
Toyota,Yaris,2005,5449
Nissan,Qashqai,2013,24539
Honda,Accord,2017,15716
Volkswagen,Tiguan,2003,11789
Audi,Q7,2010,13880
Hyundai,Santa Fe,2017,24616
Nissan,X-Trail,2008,14253
Peugeot,2008,2006,17728
Volkswagen,Tiguan,2014,22779
Ford,Focus,2004,12758
Mercedes,GLC,2010,14779
Volkswagen,Tiguan,2013,20761
BMW,M3,2016,22728
Toyota,Corolla,2011,16465
Hyundai,i20,2004,12893
Peugeot,208,2012,6689
Audi,Q5,2007,15270
BMW,X5,2010,5214
Toyota,Camry,2011,8708
Nissan,X-Trail,2006,9680
Hyundai,Tucson,2009,22752
Volkswagen,Golf,2022,17128
